,x,y,z,phi,theta,psi,v_cmd,idx
677,"[ 77.3772049   78.9420032   80.50240859  82.05860266  83.61071491
  85.15892984  86.7034998   88.24473296  89.78297488  91.31858775
  92.85192865  94.38332778  95.91307011  97.44139223  98.96851603
 100.49466475]","[-33.17056656 -32.8431673  -32.49674376 -32.13221679 -31.75082045
 -31.35399192 -30.9432881  -30.52031619 -30.08667299 -29.64388914
 -29.19337502 -28.73636626 -28.27387139 -27.80663283 -27.33512856
 -26.85967785]","[61.75882721 61.6942297  61.62285307 61.54968953 61.47579018 61.40137002
 61.32646592 61.25107905 61.17520794 61.09885966 61.02206083 60.94488291
 60.86752338 60.79059652 60.71593703 60.64657219]","[-0.20276912 -0.19731657 -0.18801357 -0.17575407 -0.16136743 -0.14560923
 -0.12916426 -0.11266117 -0.09669699 -0.08186585 -0.06877737 -0.05803093
 -0.05008243 -0.044916   -0.04150639 -0.03755653]","[-0.03688152 -0.04377253 -0.04544991 -0.04602679 -0.04637446 -0.04667923
 -0.04698012 -0.04728331 -0.0475861  -0.0478806  -0.04815034 -0.04835608
 -0.04838064 -0.04782431 -0.04557155 -0.0412341 ]","[0.20000946 0.21243798 0.22439428 0.23566432 0.24609082 0.25556813
 0.26403668 0.27147809 0.27791166 0.28339277 0.28801302 0.29190022
 0.29521374 0.29812559 0.30077488 0.3031979 ]","[15.99999984 15.99999984 15.99999984 15.99999984 15.99999984 15.99999984
 15.99999984 15.99999985 15.99999985 15.99999986 15.99999988 15.99999991
 15.99999996 16.00000003 16.00000012]",1
678,"[ 77.79673004  79.36154874  80.9219771   82.47820033  84.03034841
  85.57860507  87.12322127  88.66450359  90.20279584  91.73845854
  93.27184728  94.80329108  96.33307422  97.86143323  99.3885908
 100.91477139]","[-33.04932022 -32.72204458 -32.37577456 -32.01142735 -31.63023237
 -31.2336214  -30.82314555 -30.40040624 -29.96699473 -29.5244367
 -29.07413838 -28.6173323  -28.15502504 -27.68795842 -27.21661085
 -26.74130269]","[61.76425552 61.6995274  61.62790801 61.55446929 61.48028383 61.40557219
 61.33037261 61.25468658 61.17851267 61.10185798 61.02474934 60.94725881
 60.86958552 60.79234814 60.71739073 60.64775107]","[-0.20246645 -0.19702139 -0.18774647 -0.17553021 -0.1611969  -0.14549755
 -0.12911293 -0.11266818 -0.09675718 -0.08197119 -0.06891706 -0.05819173
 -0.05024958 -0.0450756  -0.04165016 -0.03768662]","[-0.03690709 -0.04390852 -0.04561715 -0.04620374 -0.04655548 -0.04686291
 -0.04716615 -0.04747162 -0.04777669 -0.04807342 -0.04834519 -0.04855242
 -0.04857696 -0.04801665 -0.04575222 -0.04139757]","[0.19994075 0.2123502  0.22428862 0.23554312 0.24595721 0.25542569
 0.26388917 0.27132923 0.27776491 0.28325116 0.28787898 0.29177544
 0.29509905 0.29802094 0.30067954 0.30311096]","[15.99999984 15.99999984 15.99999984 15.99999984 15.99999984 15.99999984
 15.99999984 15.99999985 15.99999985 15.99999986 15.99999988 15.99999991
 15.99999996 16.00000003 16.00000012]",1
679,"[ 78.63630676  80.20118756  81.76169481  83.31801165  84.870266
  86.41863865  87.96337705  89.50478392  91.04319922  92.57897988
  94.11247843  95.64402157  97.17389236  98.70232752 100.22955185
 101.75579253]","[-32.80680847 -32.479955   -32.13415834 -31.77032652 -31.3896775
 -30.99363054 -30.58372405 -30.16154721 -29.72868009 -29.28663869
 -28.83682145 -28.38045538 -27.91854412 -27.45182918 -26.98079081
 -26.50575253]","[61.77488708 61.7095269  61.6373404  61.56333178 61.48856806 61.41327042
 61.3374775  61.26119086 61.18440905 61.10713927 61.02940881 60.95129117
 60.87298955 60.79513372 60.71959119 60.64942318]","[-0.20187788 -0.19649183 -0.18730866 -0.17520651 -0.16100013 -0.14543219
 -0.12917622 -0.11285116 -0.09704542 -0.08234524 -0.06935274 -0.05866068
 -0.05072109 -0.04552142 -0.0420535  -0.03805149]","[-0.03734333 -0.04426435 -0.04597096 -0.04656296 -0.04691978 -0.04723185
 -0.04753963 -0.04784967 -0.04815931 -0.04846048 -0.04873625 -0.04894614
 -0.0489696  -0.04839816 -0.04610341 -0.04170812]","[0.19969245 0.21206625 0.22397394 0.23520437 0.24560211 0.25506242
 0.26352591 0.27097369 0.27742402 0.28293079 0.2875836  0.29150793
 0.29486046 0.29781051 0.30049517 0.30295016]","[15.99999984 15.99999984 15.99999984 15.99999984 15.99999985 15.99999986
 15.99999987 15.9999999  15.99999996 16.00000006 16.00000024 16.00000057
 16.00000112 16.00000193 16.00000295]",1
680,"[ 79.05628967  80.62122993  82.18180501  83.73819548  85.29052755
  86.83898023  88.383799    89.92528461  91.46377515  92.99962587
  94.53318795  96.06478721  97.5947063   99.12318232 100.65044123
 102.17671183]","[-32.68556213 -32.35906655 -32.01363841 -31.65018109 -31.26990702
 -30.87422973 -30.46468205 -30.04284802 -29.61030323 -29.16856
 -28.7190141  -28.26289102 -27.80119416 -27.33466604 -26.8637889
 -26.38888861]","[61.78003311 61.71430669 61.64182242 61.56752257 61.4924652  61.41687042
 61.34077676 61.26418571 61.1870958  61.10951421 61.03146841 60.95303243
 60.87441108 60.79623833 60.72039068 60.64994055]","[-0.20171824 -0.1963713  -0.18723838 -0.17519318 -0.16104653 -0.14553766
 -0.1293372  -0.11306156 -0.09729692 -0.08262742 -0.06965315 -0.05896511
 -0.0510146  -0.04579101 -0.04229333 -0.0382685 ]","[-0.03761181 -0.04445533 -0.04615273 -0.04674561 -0.04710456 -0.04741887
 -0.04772892 -0.04804127 -0.04835325 -0.04865672 -0.04893462 -0.04914613
 -0.04916975 -0.04859469 -0.04628889 -0.04187593]","[0.19947038 0.21183526 0.2237369  0.23496471 0.24536352 0.25482863
 0.26330047 0.27075983 0.2772245  0.28274777 0.28741856 0.29136151
 0.29473242 0.29769976 0.30040006 0.30286906]","[15.99999984 15.99999984 15.99999984 15.99999984 15.99999985 15.99999986
 15.99999987 15.9999999  15.99999995 16.00000006 16.00000024 16.00000057
 16.00000111 16.00000191 16.00000294]",1
681,"[ 79.47642517  81.04144707  82.60211156  84.15859635  85.71102542
  87.25957545  88.80448958  90.34606625  91.88464146  93.4205687
  94.95419775  96.48585357  98.01581855  99.54433021 101.07161584
 102.59790599]","[-32.56433105 -32.23829763 -31.89333595 -31.53034265 -31.15052318
 -30.75528436 -30.34615291 -29.92470753 -29.49251942 -29.05109751
 -28.60183536 -28.14595745 -27.68446753 -27.21810966 -26.74736862
 -26.27257322]","[61.78517532 61.71909787 61.64631788 61.5717261  61.4963738  61.42048046
 61.34408464 61.26718775 61.18978827 61.1118934  61.03353076 60.95477496
 60.87583245 60.79734156 60.72118808 60.65045545]","[-0.20159483 -0.19631346 -0.18725159 -0.17527892 -0.16120283 -0.14575968
 -0.12961778 -0.11339166 -0.09766586 -0.083023   -0.07006178 -0.05937206
 -0.05140493 -0.04615199 -0.04261877 -0.03856297]","[-0.0378638  -0.04464357 -0.04633462 -0.046929   -0.04729021 -0.04760679
 -0.04791911 -0.04823378 -0.0485481  -0.0488539  -0.04913393 -0.04934705
 -0.04937077 -0.04879188 -0.04647462 -0.04204396]","[0.19918016 0.21153929 0.22343955 0.23467053 0.24507701 0.25455403
 0.2630416  0.27051999 0.27700635 0.28255326 0.28724885 0.29121691
 0.29461232 0.29760274 0.3003241  0.30281212]","[15.99999984 15.99999984 15.99999984 15.99999984 15.99999985 15.99999986
 15.99999987 15.9999999  15.99999995 16.00000005 16.00000024 16.00000056
 16.0000011  16.0000019  16.00000293]",1
682,"[ 79.89669037  81.46178209  83.02252662  84.57909658  86.13161337
  87.68025148  89.22525187  90.76691089  92.30556263  93.8415589
  95.37524824  96.90695474  98.43696052  99.96550353 101.49281232
 103.01911913]","[-32.44313049 -32.11752512 -31.77299332 -31.41042672 -31.03102494
 -30.63618895 -30.22744004 -29.80635207 -29.37449216 -28.93336609
 -28.48436525 -28.02871313 -27.56741366 -27.10121229 -26.63059606
 -26.15589644]","[61.79014587 61.72360983 61.65051035 61.57562132 61.49997285 61.42378065
 61.34708249 61.26987961 61.19217039 61.11396201 61.03528229 60.9562064
 60.87694246 60.79813321 60.72167374 60.65065852]","[-0.20150419 -0.19627446 -0.18727142 -0.17536081 -0.16134658 -0.14596219
 -0.12987353 -0.1136931  -0.09800372 -0.08338639 -0.07043829 -0.05974804
 -0.05176637 -0.04648678 -0.04292086 -0.03883631]","[-0.03822721 -0.0448564  -0.046522   -0.04711363 -0.04747616 -0.04779481
 -0.0481094  -0.0484264  -0.04874309 -0.04905122 -0.04933341 -0.04954815
 -0.04957195 -0.0489892  -0.04666041 -0.04221205]","[0.19891144 0.21126647 0.22316614 0.23440038 0.24481401 0.25430193
 0.26280384 0.27029958 0.27680578 0.28237438 0.2870928  0.29108402
 0.2945021  0.2975139  0.30025481 0.30276048]","[15.99999984 15.99999984 15.99999984 15.99999984 15.99999985 15.99999986
 15.99999987 15.9999999  15.99999995 16.00000005 16.00000023 16.00000055
 16.00000109 16.00000189 16.00000292]",1
683,"[ 80.73290253  82.29807743  83.85892626  85.41561231  86.96825288
  88.51701913  90.06214853  91.60393387  93.14270579  94.67881297
  96.21260137  97.74439323  99.27446982 100.80306952 102.33042301
 103.85676546]","[-32.20208359 -31.87706936 -31.53314723 -31.17120262 -30.79242612
 -30.39820869 -29.99006151 -29.56954884 -29.13822917 -28.69760101
 -28.24905017 -27.79379657 -27.33284279 -26.86693521 -26.39656365
 -25.92206337]","[61.79941177 61.73194157 61.65820023 61.58271762 61.5064786  61.4296905
 61.35238945 61.27457625 61.1962491  61.1174152  61.03810274 60.95838808
 60.87848276 60.79903847 60.7219691  60.65039089]","[-0.20122829 -0.19605144 -0.18712697 -0.17531197 -0.1614025  -0.14612509
 -0.13013965 -0.11405355 -0.09844502 -0.0838909  -0.07098441 -0.06031072
 -0.05231881 -0.04700462 -0.04339014 -0.03926093]","[-0.03897177 -0.04528581 -0.04689666 -0.04748188 -0.0478469  -0.04816973
 -0.04848889 -0.04881062 -0.04913211 -0.04944496 -0.04973149 -0.04994945
 -0.04997336 -0.04938269 -0.04703056 -0.04254693]","[0.19854702 0.21088615 0.22277418 0.23400234 0.24441625 0.25391109
 0.26242646 0.26994175 0.27647284 0.28207071 0.28682155 0.29084691
 0.29429928 0.29734396 0.30011516 0.30264826]","[15.99999984 15.99999984 15.99999984 15.99999984 15.99999985 15.99999986
 15.99999987 15.9999999  15.99999995 16.00000005 16.00000023 16.00000054
 16.00000107 16.00000187 16.0000029 ]",1
684,"[ 81.15140533  82.71661177  84.2775067   85.8342473   87.38694843
  88.93577946  90.480976    92.02282892  93.56166695  95.09783703
  96.63168362  98.16352788  99.69365049 101.22228995 102.74967795
 104.27605117]","[-32.08156967 -31.75681833 -31.41317848 -31.05153205 -30.67306436
 -30.27916048 -29.87132557 -29.45111812 -29.0200914  -28.57973944
 -28.1314445  -27.67642408 -27.21567965 -26.74995776 -26.27974947
 -25.80539181]","[61.8037262  61.73571887 61.66163772 61.58585113 61.50931229 61.43222225
 61.35461585 61.27649354 61.19785341 61.11870266 61.03906961 60.9590312
 60.8788005  60.79903337 60.72165252 60.64978587]","[-0.20098072 -0.19583441 -0.18695537 -0.17519581 -0.16134737 -0.14613266
 -0.13020822 -0.11417846 -0.09861902 -0.08410429 -0.07122513 -0.06056464
 -0.05257068 -0.04724057 -0.0436025  -0.03945309]","[-0.03941462 -0.04551846 -0.04708989 -0.04766916 -0.04803482 -0.04835963
 -0.04868109 -0.04900523 -0.04932916 -0.04964442 -0.04993321 -0.05015291
 -0.05017713 -0.04958304 -0.0472202  -0.0427185 ]","[0.19838955 0.21071388 0.22258957 0.23380864 0.24421717 0.25371055
 0.26222834 0.26974967 0.27629006 0.28189992 0.28666478 0.29070538
 0.2941733  0.29723296 0.30001792 0.30256344]","[15.99999984 15.99999984 15.99999984 15.99999984 15.99999985 15.99999986
 15.99999987 15.9999999  15.99999995 16.00000005 16.00000022 16.00000054
 16.00000107 16.00000186 16.00000289]",1
685,"[ 81.57013702  83.13535343  84.6962698   86.25303876  87.80577374
  89.35464302  90.89988102  92.44177722  93.98065887  95.51687149
  97.05075825  98.58263932 100.1127948  101.64146324 103.16887719
 104.69527465]","[-31.96107864 -31.63647937 -31.29300886 -30.93154847 -30.55328083
 -30.15958713 -29.7519681  -29.33197763 -28.90116447 -28.46101858
 -28.01291877 -27.55807994 -27.09750201 -26.63193112 -26.16185881
 -25.68762316]","[61.80832291 61.7398172  61.66540259 61.58931138 61.51247052 61.43507592
 61.35716136 61.27872704 61.19977094 61.12030029 61.04034358 60.95997834
 60.87941935 60.79932686 60.72163289 60.6494768 ]","[-0.20079589 -0.19564373 -0.18677861 -0.175048   -0.16123897 -0.14607
 -0.13019394 -0.1142119  -0.09869656 -0.08421953 -0.07136903 -0.06072574
 -0.05273594 -0.04739766 -0.04374403 -0.03958115]","[-0.03981608 -0.04574348 -0.04728269 -0.04785761 -0.04822432 -0.04855125
 -0.04887508 -0.04920168 -0.0495281  -0.04984581 -0.05013687 -0.05035827
 -0.05038266 -0.04978478 -0.04741051 -0.04289067]","[0.19830109 0.21061344 0.22247745 0.23368626 0.24408673 0.25357476
 0.26209016 0.26961212 0.27615597 0.28177181 0.28654467 0.29059467
 0.29407264 0.2971422  0.29993632 0.30249011]","[15.99999984 15.99999984 15.99999984 15.99999984 15.99999985 15.99999986
 15.99999987 15.9999999  15.99999995 16.00000004 16.00000022 16.00000053
 16.00000106 16.00000185 16.00000288]",1
686,"[ 81.98907471  83.55429823  85.11523211  86.67202499  88.22478908
  89.77369172  91.31896624  92.86090083  94.39982136  95.93607198
  97.46999463  99.00190851 100.53209315 102.06078712 103.58822383
 105.11464257]","[-31.84061813 -31.51615379 -31.17283438 -30.81154119 -30.43345457
 -30.03995226 -29.63253087 -29.21273991 -28.78212385 -28.34216867
 -27.89424978 -27.43957951 -26.97915618 -26.51372539 -26.04377904
 -25.56965613]","[61.81267929 61.74369517 61.6689508  61.59255535 61.51541205 61.43771229
 61.3594889  61.28074185 61.20146903 61.12167766 61.04139646 60.96070354
 60.8798154  60.79939677 60.72138908 60.64894307]","[-0.20062967 -0.19546559 -0.18660892 -0.17490243 -0.1611287  -0.14600207
 -0.13017168 -0.11423533 -0.0987627  -0.08432263 -0.07150065 -0.06087503
 -0.05289045 -0.04754541 -0.04387764 -0.03970204]","[-0.0401964  -0.04596439 -0.0474749  -0.04804622 -0.04841416 -0.04874328
 -0.04906951 -0.0493986  -0.04972753 -0.05004772 -0.05034105 -0.05056418
 -0.05058871 -0.04998698 -0.04760113 -0.04306313]","[0.19822296 0.21052433 0.22237728 0.23357611 0.24396853 0.25345099
 0.26196359 0.26948561 0.27603226 0.28165335 0.28643347 0.29049213
 0.29397944 0.29705828 0.29986105 0.30242264]","[15.99999984 15.99999984 15.99999984 15.99999984 15.99999985 15.99999986
 15.99999987 15.9999999  15.99999995 16.00000004 16.00000022 16.00000053
 16.00000105 16.00000184 16.00000287]",1
687,"[ 82.82763672  84.39284997  85.95378778  87.51059859  89.0633944
  90.61234146  92.15767109  93.69966889  95.2386578   96.77497897
  98.30897154  99.84095238 101.37119951 102.8999512  104.42744232
 105.95391445]","[-31.59978676 -31.27541154 -30.93223932 -30.57114952 -30.19331683
 -29.80011071 -29.39301797 -28.97357767 -28.54332381 -28.10373254
 -27.65617066 -27.20184355 -26.74174472 -26.27661726 -25.80695266
 -25.33309084]","[61.82072449 61.75108871 61.67575147 61.59876077 61.52101366 61.44270164
 61.36385785 61.28448229 61.2045728  61.12413671 61.04320312 60.96185147
 60.88030184 60.79922838 60.72059195 60.64756565]","[-0.2000685  -0.1948741  -0.18603464 -0.17438235 -0.16068966 -0.14566156
 -0.12993877 -0.11411164 -0.09874306 -0.08439558 -0.07164874 -0.0610753
 -0.05311603 -0.04776983 -0.0440832  -0.03988804]","[-0.04064073 -0.0463366  -0.04784463 -0.0484213  -0.04879466 -0.04912892
 -0.04946022 -0.0497944  -0.05012845 -0.05045364 -0.05075157 -0.05097809
 -0.05100272 -0.0503927  -0.04798266 -0.0434083 ]","[0.19818789 0.21045249 0.22226838 0.23343257 0.24379479 0.25325283
 0.26174757 0.26925854 0.2758008  0.28142359 0.28621056 0.29027997
 0.29378039 0.29687307 0.29968903 0.30226264]","[15.99999984 15.99999984 15.99999984 15.99999984 15.99999985 15.99999986
 15.99999987 15.9999999  15.99999995 16.00000004 16.00000021 16.00000052
 16.00000103 16.00000182 16.00000285]",1
688,"[ 83.24723053  84.81244792  86.3733955   87.93022308  89.48304292
  91.03202068  92.57738667  94.11942513  95.65845746  97.1948233
  98.72886035 100.26088433 101.79117254 103.31996319 104.84749195
 106.37400167]","[-31.47939491 -31.15509652 -30.81203138 -30.45107743 -30.07340618
 -29.68038276 -29.27348894 -28.8542584  -28.42421986 -27.98484455
 -27.53749499 -27.08337323 -26.62347057 -26.15852915 -25.68904059
 -25.2153455 ]","[61.82445526 61.7545546  61.67893215 61.60164378 61.52359206 61.44497057
 61.36581303 61.28611957 61.20588804 61.12512579 61.04386213 60.96217714
 60.88029264 60.79888737 60.71993173 60.64661041]","[-0.19977578 -0.19456926 -0.18574113 -0.17411829 -0.16046811 -0.14549089
 -0.12982314 -0.1140514  -0.09873513 -0.08443359 -0.07172314 -0.06117362
 -0.05322379 -0.0478732  -0.04417417 -0.03997036]","[-0.04079869 -0.0465098  -0.04802817 -0.04861019 -0.04898692 -0.04932392
 -0.04965783 -0.04999461 -0.05033126 -0.050659   -0.05095928 -0.05118757
 -0.05121236 -0.05059842 -0.04817664 -0.0435838 ]","[0.19814978 0.21039531 0.22219219 0.23333873 0.24368566 0.25313141
 0.26161724 0.26912277 0.27566294 0.28128668 0.28607713 0.29015188
 0.29365864 0.2967578  0.29957973 0.30215866]","[15.99999984 15.99999984 15.99999984 15.99999984 15.99999985 15.99999986
 15.99999987 15.99999989 15.99999994 16.00000004 16.00000021 16.00000051
 16.00000102 16.00000181 16.00000284]",1
689,"[ 83.66702271  85.23225853  86.79323124  88.35009143  89.90295104
  91.45197474  92.99739134  94.5394834   96.07857052  97.61499058
  99.14907975 100.68115251 102.21148544 103.74031672 105.26788293
 106.79442822]","[-31.35900116 -31.03484905 -30.69196085 -30.33121091 -29.95376584
 -29.56098507 -29.15434429 -28.73537113 -28.30558855 -27.86646262
 -27.41935154 -26.9654541  -26.50575962 -26.04100961 -25.57169615
 -25.09816098]","[61.82774353 61.75757714 61.68167095 61.60408689 61.52573266 61.44680381
 61.36733466 61.28732545 61.20677404 61.1256878  61.04409626 60.96208015
 60.87986318 60.79812883 60.71885741 60.64524474]","[-0.1994519  -0.19425858 -0.18546335 -0.17388785 -0.16029452 -0.14537922
 -0.12977454 -0.11406356 -0.09880262 -0.08454804 -0.07187334 -0.06134575
 -0.05340239 -0.04804368 -0.0443278  -0.04010937]","[-0.04095842 -0.04668234 -0.04821054 -0.04879779 -0.04917786 -0.0495176
 -0.04985411 -0.05019347 -0.05053272 -0.05086301 -0.05116562 -0.05139563
 -0.05142046 -0.05080227 -0.04836821 -0.04375711]","[0.19806801 0.21029333 0.22207152 0.23320199 0.2435362  0.25297304
 0.26145389 0.26895831 0.27550098 0.28113037 0.285929   0.29001368
 0.29353124 0.29664112 0.299473   0.30206091]","[15.99999984 15.99999984 15.99999984 15.99999984 15.99999985 15.99999986
 15.99999987 15.99999989 15.99999994 16.00000003 16.0000002  16.00000051
 16.00000102 16.0000018  16.00000283]",1
690,"[ 84.08700562  85.65224993  87.21323811  88.77012171  90.32301261
  91.87207461  93.41753521  94.95967533  96.49881284  98.03528387
  99.56942301 101.1015435  102.6319211  104.16079392 105.68839935
 107.21498284]","[-31.23860741 -30.91455423 -30.57179953 -30.21121457 -29.83396139
 -29.44139387 -29.03498165 -28.6162462  -28.18670451 -27.74781726
 -27.30093801 -26.847262   -26.38777622 -25.9232212  -25.45408921
 -24.98072286]","[61.83090973 61.76047572 61.68428441 61.60640329 61.5277451  61.44850738
 61.36872506 61.28839847 61.20752549 61.12611353 61.04419234 60.96184331
 60.87929203 60.79722683 60.71763793 60.64373235]","[-0.19909746 -0.19390967 -0.18514175 -0.17360988 -0.16007136 -0.14521737
 -0.12967636 -0.11402772 -0.09882444 -0.08461971 -0.071984   -0.06148174
 -0.05354818 -0.04818447 -0.04445453 -0.04022404]","[-0.04111962 -0.04685578 -0.04839374 -0.04898627 -0.04936972 -0.04971224
 -0.05005138 -0.05039338 -0.05073525 -0.05106811 -0.05137308 -0.05160483
 -0.05162969 -0.05100722 -0.0485608  -0.04393135]","[0.19801757 0.21022047 0.22197736 0.23308887 0.24340731 0.25283209
 0.26130485 0.26880513 0.27534739 0.2809797  0.28578398 0.28987627
 0.29340249 0.29652118 0.29936127 0.30195659]","[15.99999984 15.99999984 15.99999984 15.99999984 15.99999985 15.99999985
 15.99999987 15.99999989 15.99999994 16.00000003 16.0000002  16.0000005
 16.00000101 16.00000179 16.00000281]",1
691,"[ 84.92366028  86.48892323  88.04994616  89.60688251  91.15984362
  92.70899123  94.25454973  95.79679639  97.33604517  98.8726284
 100.40687722 101.93910209 103.46957704 104.9985399  106.52622969
 108.05289442]","[-30.99895287 -30.67510432 -30.33263458 -29.97240613 -29.59556945
 -29.20346525 -28.79754922 -28.37932888 -27.95030806 -27.5119355
 -27.06555471 -26.61235313 -26.15331269 -25.68917178 -25.22042294
 -24.74741071]","[61.83685303 61.76589248 61.68913247 61.61065693 61.53139002 61.45153357
 61.37112377 61.29016123 61.20864384 61.12657911 61.04399722 60.96098096
 60.87775972 60.7950317  60.71480728 60.64031566]","[-0.19824921 -0.19309948 -0.18441159 -0.17299039 -0.15958262 -0.14486997
 -0.12947254 -0.11396239 -0.09888586 -0.08478991 -0.07223901 -0.06179205
 -0.05388064 -0.04850747 -0.04474802 -0.0404896 ]","[-0.0414329  -0.04720079 -0.04876007 -0.04936366 -0.04975404 -0.0501022
 -0.05044666 -0.05079395 -0.05114113 -0.05147918 -0.0517889  -0.05202412
 -0.05204897 -0.05141771 -0.04894614 -0.04427997]","[0.19791646 0.21006654 0.22177452 0.23284335 0.24312693 0.25252554
 0.26098115 0.26847313 0.27501534 0.28065486 0.2854723  0.28958202
 0.29312803 0.29626686 0.29912587 0.30173834]","[15.99999984 15.99999984 15.99999984 15.99999984 15.99999985 15.99999985
 15.99999987 15.99999989 15.99999994 16.00000003 16.00000019 16.00000049
 16.00000099 16.00000176 16.00000279]",1
692,"[ 85.34239197  86.90768218  88.46874531  90.02573276  91.57875453
  93.12797069  94.67360369  96.21592862  97.75525724  99.29191978
 100.82624554 102.35854358 103.88908715 105.41811408 106.94586444
 108.47258775]","[-30.87911415 -30.55547866 -30.2132621  -29.85332129 -29.47679968
 -29.08503027 -28.67946094 -28.2615917  -27.83291944 -27.39488687
 -26.94883254 -26.49594036 -26.03719032 -25.57332046 -25.10482438
 -24.63204824]","[61.83967972 61.76834747 61.69127557 61.61249397 61.5329182  61.4527489
 61.37202211 61.29073839 61.20889556 61.12650115 61.04358556 60.96023223
 60.87667243 60.79360919 60.71306276 60.63827385]","[-0.19779493 -0.19268519 -0.18405521 -0.17270418 -0.15937366 -0.14474079
 -0.12942165 -0.11398477 -0.09897327 -0.084931   -0.07241934 -0.06199432
 -0.05408591 -0.04869851 -0.04491599 -0.04064158]","[-0.04169964 -0.04740026 -0.04895105 -0.04955571 -0.04994851 -0.05029924
 -0.05064632 -0.05099626 -0.05134611 -0.05168679 -0.05199893 -0.05223596
 -0.0522609  -0.05162544 -0.04914162 -0.04445682]","[0.19779652 0.20991895 0.22160247 0.232651   0.24291901 0.25230705
 0.26075708 0.26824821 0.27479385 0.28044046 0.28526783 0.28938935
 0.29294789 0.2960989  0.29896893 0.30159122]","[15.99999984 15.99999984 15.99999984 15.99999984 15.99999985 15.99999985
 15.99999987 15.99999989 15.99999994 16.00000003 16.00000019 16.00000049
 16.00000098 16.00000175 16.00000278]",1
693,"[ 85.76138306  87.32668394  88.88777404  90.44479899  91.99786668
  93.54713563  95.09282659  96.63521278  98.17460405  99.71132875
 101.24571457 102.77806927 104.30866535 105.83774064 107.36553617
 108.89230286]","[-30.75926399 -30.43579868 -30.09378464 -29.73407557 -29.35780966
 -28.96631369 -28.56102895 -28.14344893 -27.7150644  -27.27731258
 -26.83152751 -26.37888972 -25.92037717 -25.45672733 -24.98843441
 -24.51584585]","[61.84268951 61.77081737 61.69339278 61.61429404 61.53440532 61.45392073
 61.37287483 61.29126783 61.20909742 61.12637115 61.0431196  60.95942691
 60.87552625 60.79212558 60.71125517 60.63616721]","[-0.19742763 -0.19233955 -0.18375025 -0.17245359 -0.1591862  -0.14462076
 -0.12936945 -0.11399734 -0.0990444  -0.08505147 -0.07257698 -0.06217427
 -0.0542716  -0.04887447 -0.04507335 -0.04078397]","[-0.04213799 -0.04764075 -0.0491526  -0.04975116 -0.0501447  -0.05049764
 -0.05084727 -0.05119989 -0.05155245 -0.0518958  -0.0522104  -0.05244925
 -0.05247427 -0.05183451 -0.04933825 -0.04463471]","[0.19770237 0.2098021  0.22146497 0.23249595 0.24275018 0.25212861
 0.26057329 0.26806321 0.27461148 0.28026404 0.28510001 0.28923193
 0.29280173 0.29596385 0.29884411 0.3014756 ]","[15.99999984 15.99999984 15.99999984 15.99999984 15.99999985 15.99999985
 15.99999987 15.99999989 15.99999994 16.00000003 16.00000019 16.00000048
 16.00000098 16.00000174 16.00000277]",1
694,"[ 86.18061066  87.7458937   89.30697917  90.86400796  92.41708681
  93.96637359  95.51208817  97.05450264  98.59392551 100.13068377
 101.66510376 103.19749216 104.72812072 106.25722719 107.78505337
 109.31185139]","[-30.63941193 -30.31597844 -29.9740232  -29.61440091 -29.23824802
 -28.84688796 -28.4417577  -28.02434592 -27.59613845 -27.15856779
 -26.71296377 -26.26050348 -25.80216246 -25.33867688 -24.87054068
 -24.39810158]","[61.84552765 61.77312194 61.69534424 61.61592664 61.53572294 61.45492083
 61.3735535  61.29162077 61.20912024 61.12605944 61.0424692  60.9584343
 60.87418982 60.79044857 60.70925072 60.63386026]","[-0.19716549 -0.19205145 -0.183461   -0.17218288 -0.15894874 -0.14442665
 -0.12922456 -0.11390372 -0.09900061 -0.08505274 -0.07261532 -0.06223869
 -0.05434892 -0.0489517  -0.0451423  -0.04084636]","[-0.04256875 -0.0478808  -0.04935507 -0.04994785 -0.05034224 -0.05069746
 -0.05104972 -0.05140508 -0.05176042 -0.0521065  -0.05242361 -0.05266435
 -0.05268953 -0.05204563 -0.04953716 -0.04481467]","[0.19769375 0.20977594 0.22142048 0.23243374 0.24267198 0.25203689
 0.260471   0.26795353 0.27449756 0.28014883 0.28498604 0.28912114
 0.29269531 0.29586218 0.29874693 0.30138244]","[15.99999984 15.99999984 15.99999984 15.99999984 15.99999985 15.99999985
 15.99999987 15.99999989 15.99999994 16.00000002 16.00000019 16.00000048
 16.00000097 16.00000173 16.00000276]",1
